Entity,Primary energy consumption per capita (kWh/person)
Azerbaijan,21881.906
Bangladesh,2940.0205
China,33266.83
Cyprus,25469.945
India,7586.1997
Indonesia,10116.714
Iran,39598.59
Iraq,15332.978
Israel,33730.26
Japan,39209.965
Kazakhstan,42234.96
Kuwait,101647.75
Malaysia,38920.656
Oman,92605.32
Pakistan,3895.0408
Philippines,5191.9824
Qatar,226847.66
Saudi Arabia,87198.66
Singapore,160276.98
South Korea,66698.02
Sri Lanka,4535.9824
Thailand,19370.299
Turkey,22668.203
Turkmenistan,68284.93
United Arab Emirates,149830.33
Uzbekistan,16622.736
Vietnam,13744.149
Taiwan,42912.759